pid,date,segment,uniquedevices,countscansmostuniquedevice,datetime
INS-W_1005,2021-05-01,evening,3.6923076923076916,11.0,2021-05-01 17:59:59
INS-W_1005,2021-05-01,night,1.0,40.0,2021-05-01 23:59:59
INS-W_1005,2021-05-02,morning,3.0,90.0,2021-05-02 05:59:59
INS-W_1005,2021-05-02,afternoon,9.571428571428571,70.66666666666667,2021-05-02 11:59:59
INS-W_1005,2021-05-02,evening,2.8461538461538467,11.0,2021-05-02 17:59:59
INS-W_1005,2021-05-02,night,1.0,40.0,2021-05-02 23:59:59
INS-W_1005,2021-05-03,morning,3.0,90.0,2021-05-03 05:59:59
INS-W_1005,2021-05-03,afternoon,9.785714285714285,74.33333333333333,2021-05-03 11:59:59
INS-W_1005,2021-05-03,evening,2.0,11.0,2021-05-03 17:59:59
INS-W_1005,2021-05-03,night,1.0,40.0,2021-05-03 23:59:59
INS-W_1005,2021-05-04,morning,3.0,90.0,2021-05-04 05:59:59
INS-W_1005,2021-05-04,afternoon,10.0,78.0,2021-05-04 11:59:59
INS-W_1005,2021-05-04,evening,7.0,30.0,2021-05-04 17:59:59
INS-W_1005,2021-05-04,night,1.0,40.0,2021-05-04 23:59:59
INS-W_1005,2021-05-05,morning,3.0,80.0,2021-05-05 05:59:59
INS-W_1005,2021-05-05,afternoon,5.0,100.0,2021-05-05 11:59:59
INS-W_1005,2021-05-05,evening,6.0,108.0,2021-05-05 17:59:59
INS-W_1005,2021-05-05,night,1.0,54.0,2021-05-05 23:59:59
INS-W_1005,2021-05-06,morning,6.0,113.0,2021-05-06 05:59:59
INS-W_1005,2021-05-06,afternoon,3.0,105.0,2021-05-06 11:59:59
INS-W_1005,2021-05-06,evening,2.0,65.0,2021-05-06 17:59:59
INS-W_1005,2021-05-06,night,1.0,36.0,2021-05-06 23:59:59
INS-W_1005,2021-05-07,morning,4.0,91.0,2021-05-07 05:59:59
INS-W_1005,2021-05-07,afternoon,3.0,76.0,2021-05-07 11:59:59
INS-W_1005,2021-05-07,evening,5.0,55.0,2021-05-07 17:59:59
INS-W_1005,2021-05-07,night,1.0,39.0,2021-05-07 23:59:59
INS-W_1005,2021-05-08,morning,3.0,44.0,2021-05-08 05:59:59
INS-W_1005,2021-05-08,afternoon,10.0,62.0,2021-05-08 11:59:59
INS-W_1005,2021-05-08,evening,9.0,36.0,2021-05-08 17:59:59
INS-W_1005,2021-05-08,night,1.0,37.0,2021-05-08 23:59:59
INS-W_1005,2021-05-09,morning,3.0,51.0,2021-05-09 05:59:59
INS-W_1005,2021-05-09,afternoon,10.0,59.0,2021-05-09 11:59:59
INS-W_1005,2021-05-09,evening,2.0,81.0,2021-05-09 17:59:59
INS-W_1005,2021-05-09,night,1.0,38.0,2021-05-09 23:59:59
INS-W_1005,2021-05-10,morning,2.0,70.0,2021-05-10 05:59:59
INS-W_1005,2021-05-10,afternoon,8.0,70.0,2021-05-10 11:59:59
INS-W_1005,2021-05-10,evening,10.0,84.0,2021-05-10 17:59:59
INS-W_1005,2021-05-10,night,1.0,35.0,2021-05-10 23:59:59
INS-W_1005,2021-05-11,morning,3.0,56.0,2021-05-11 05:59:59
INS-W_1005,2021-05-11,afternoon,9.0,65.0,2021-05-11 11:59:59
INS-W_1005,2021-05-11,evening,4.0,80.0,2021-05-11 17:59:59
INS-W_1005,2021-05-11,night,1.0,39.0,2021-05-11 23:59:59
INS-W_1005,2021-05-12,morning,1.0,79.0,2021-05-12 05:59:59
INS-W_1005,2021-05-12,afternoon,10.0,60.0,2021-05-12 11:59:59
INS-W_1005,2021-05-12,evening,6.0,75.0,2021-05-12 17:59:59
INS-W_1005,2021-05-12,night,1.0,42.0,2021-05-12 23:59:59
INS-W_1005,2021-05-13,morning,3.0,82.0,2021-05-13 05:59:59
INS-W_1005,2021-05-13,afternoon,5.0,84.0,2021-05-13 11:59:59
INS-W_1005,2021-05-13,evening,2.0,73.75,2021-05-13 17:59:59
INS-W_1005,2021-05-13,night,1.0,45.0,2021-05-13 23:59:59
INS-W_1005,2021-05-14,morning,1.0,85.25,2021-05-14 05:59:59
INS-W_1005,2021-05-14,afternoon,1.0,66.33333333333334,2021-05-14 11:59:59
INS-W_1005,2021-05-14,evening,1.0,72.5,2021-05-14 17:59:59
INS-W_1005,2021-05-14,night,1.0,43.75,2021-05-14 23:59:59
INS-W_1005,2021-05-15,morning,1.0,88.5,2021-05-15 05:59:59
INS-W_1005,2021-05-15,afternoon,2.0,48.66666666666667,2021-05-15 11:59:59
INS-W_1005,2021-05-15,evening,1.0,71.25,2021-05-15 17:59:59
INS-W_1005,2021-05-15,night,1.0,42.5,2021-05-15 23:59:59
INS-W_1005,2021-05-16,morning,1.0,91.75,2021-05-16 05:59:59
INS-W_1005,2021-05-16,afternoon,5.0,31.0,2021-05-16 11:59:59
INS-W_1005,2021-05-16,evening,1.0,70.0,2021-05-16 17:59:59
INS-W_1005,2021-05-16,night,1.0,41.25,2021-05-16 23:59:59
INS-W_1005,2021-05-17,morning,2.0,95.0,2021-05-17 05:59:59
INS-W_1005,2021-05-17,afternoon,18.0,91.0,2021-05-17 11:59:59
INS-W_1005,2021-05-17,evening,5.0,87.0,2021-05-17 17:59:59
INS-W_1005,2021-05-17,night,1.0,40.0,2021-05-17 23:59:59
INS-W_1005,2021-05-18,morning,1.0,66.0,2021-05-18 05:59:59
INS-W_1005,2021-05-18,afternoon,3.0,79.0,2021-05-18 11:59:59
INS-W_1005,2021-05-18,evening,6.0,63.0,2021-05-18 17:59:59
INS-W_1005,2021-05-18,night,1.0,51.0,2021-05-18 23:59:59
INS-W_1005,2021-05-19,morning,1.0,62.0,2021-05-19 05:59:59
INS-W_1005,2021-05-19,afternoon,10.0,67.0,2021-05-19 11:59:59
INS-W_1005,2021-05-19,evening,2.0,92.0,2021-05-19 17:59:59
INS-W_1005,2021-05-19,night,1.0,50.0,2021-05-19 23:59:59
INS-W_1005,2021-05-20,morning,5.0,58.0,2021-05-20 05:59:59
INS-W_1005,2021-05-20,afternoon,13.0,83.0,2021-05-20 11:59:59
INS-W_1005,2021-05-20,evening,19.0,60.0,2021-05-20 17:59:59
INS-W_1005,2021-05-20,night,1.0,42.0,2021-05-20 23:59:59
INS-W_1005,2021-05-21,morning,1.0,59.0,2021-05-21 05:59:59
INS-W_1005,2021-05-21,afternoon,10.0,80.0,2021-05-21 11:59:59
INS-W_1005,2021-05-21,evening,4.0,56.0,2021-05-21 17:59:59
INS-W_1005,2021-05-21,night,1.0,36.0,2021-05-21 23:59:59
INS-W_1005,2021-05-22,morning,2.0,46.0,2021-05-22 05:59:59
INS-W_1005,2021-05-22,afternoon,2.0,77.0,2021-05-22 11:59:59
INS-W_1005,2021-05-22,evening,11.0,51.0,2021-05-22 17:59:59
INS-W_1005,2021-05-22,night,1.0,38.0,2021-05-22 23:59:59
INS-W_1005,2021-05-23,morning,3.0,61.0,2021-05-23 05:59:59
INS-W_1005,2021-05-23,afternoon,9.0,79.0,2021-05-23 11:59:59
INS-W_1005,2021-05-23,evening,7.0,51.0,2021-05-23 17:59:59
INS-W_1005,2021-05-23,night,1.0,46.0,2021-05-23 23:59:59
INS-W_1005,2021-05-24,morning,3.0,77.0,2021-05-24 05:59:59
INS-W_1005,2021-05-24,afternoon,7.0,71.0,2021-05-24 11:59:59
INS-W_1005,2021-05-24,evening,9.0,71.0,2021-05-24 17:59:59
INS-W_1005,2021-05-24,night,1.0,39.0,2021-05-24 23:59:59
INS-W_1005,2021-05-25,morning,5.0,59.0,2021-05-25 05:59:59
INS-W_1005,2021-05-25,afternoon,2.0,100.0,2021-05-25 11:59:59
INS-W_1005,2021-05-25,evening,9.0,54.0,2021-05-25 17:59:59
INS-W_1005,2021-05-25,night,1.0,39.0,2021-05-25 23:59:59
INS-W_1005,2021-05-26,morning,3.0,116.0,2021-05-26 05:59:59
INS-W_1005,2021-05-26,afternoon,7.0,65.0,2021-05-26 11:59:59
INS-W_1005,2021-05-26,evening,8.0,62.0,2021-05-26 17:59:59
INS-W_1005,2021-05-26,night,1.0,46.0,2021-05-26 23:59:59
INS-W_1005,2021-05-27,morning,4.0,84.0,2021-05-27 05:59:59
INS-W_1005,2021-05-27,afternoon,3.0,67.0,2021-05-27 11:59:59
INS-W_1005,2021-05-27,evening,11.0,197.0,2021-05-27 17:59:59
INS-W_1005,2021-05-27,night,1.0,43.0,2021-05-27 23:59:59
INS-W_1005,2021-05-28,morning,10.0,67.0,2021-05-28 05:59:59
INS-W_1005,2021-05-28,afternoon,14.0,53.0,2021-05-28 11:59:59
INS-W_1005,2021-05-28,evening,2.0,50.0,2021-05-28 17:59:59
INS-W_1005,2021-05-28,night,1.0,42.0,2021-05-28 23:59:59
INS-W_1005,2021-05-29,morning,5.0,74.0,2021-05-29 05:59:59
INS-W_1005,2021-05-29,afternoon,13.0,13.0,2021-05-29 11:59:59
INS-W_1005,2021-05-29,evening,3.0,10.0,2021-05-29 17:59:59
INS-W_1005,2021-05-29,night,1.0,39.0,2021-05-29 23:59:59
INS-W_1005,2021-05-30,morning,1.0,59.0,2021-05-30 05:59:59
INS-W_1005,2021-05-30,afternoon,13.0,63.0,2021-05-30 11:59:59
INS-W_1005,2021-05-30,evening,6.0,60.0,2021-05-30 17:59:59
INS-W_1005,2021-05-30,night,1.0,37.0,2021-05-30 23:59:59
INS-W_1005,2021-05-31,morning,1.0,56.0,2021-05-31 05:59:59
INS-W_1005,2021-05-31,afternoon,14.0,75.0,2021-05-31 11:59:59
INS-W_1005,2021-05-31,evening,3.0,84.0,2021-05-31 17:59:59
INS-W_1005,2021-05-31,night,1.0,41.0,2021-05-31 23:59:59
INS-W_1005,2021-06-01,morning,5.0,85.0,2021-06-01 05:59:59
INS-W_1005,2021-06-01,afternoon,8.0,71.0,2021-06-01 11:59:59
INS-W_1005,2021-06-01,evening,7.0,39.0,2021-06-01 17:59:59
INS-W_1005,2021-06-01,night,1.0,40.0,2021-06-01 23:59:59
INS-W_1005,2021-06-02,morning,2.0,78.0,2021-06-02 05:59:59
INS-W_1005,2021-06-02,afternoon,3.0,68.0,2021-06-02 11:59:59
INS-W_1005,2021-06-02,evening,4.0,68.0,2021-06-02 17:59:59
INS-W_1005,2021-06-02,night,1.0,42.0,2021-06-02 23:59:59
INS-W_1005,2021-06-03,morning,4.0,73.0,2021-06-03 05:59:59
INS-W_1005,2021-06-03,afternoon,5.0,100.0,2021-06-03 11:59:59
INS-W_1005,2021-06-03,evening,2.0,81.0,2021-06-03 17:59:59
INS-W_1005,2021-06-03,night,1.0,41.0,2021-06-03 23:59:59
INS-W_1005,2021-06-04,morning,12.0,63.0,2021-06-04 05:59:59
INS-W_1005,2021-06-04,afternoon,8.0,34.0,2021-06-04 11:59:59
INS-W_1005,2021-06-04,evening,4.0,7.0,2021-06-04 17:59:59
INS-W_1005,2021-06-04,night,1.0,45.0,2021-06-04 23:59:59
INS-W_1005,2021-06-05,morning,1.0,63.0,2021-06-05 05:59:59
INS-W_1005,2021-06-05,afternoon,1.0,31.0,2021-06-05 11:59:59
INS-W_1005,2021-06-05,evening,1.0,7.0,2021-06-05 17:59:59
INS-W_1005,2021-06-05,night,1.0,45.0,2021-06-05 23:59:59
INS-W_1005,2021-06-06,morning,1.0,63.0,2021-06-06 05:59:59
INS-W_1005,2021-06-06,afternoon,6.0,28.0,2021-06-06 11:59:59
INS-W_1005,2021-06-06,evening,6.0,7.0,2021-06-06 17:59:59
INS-W_1005,2021-06-06,night,1.0,45.0,2021-06-06 23:59:59
INS-W_1025,2021-03-29,morning,1.0,34.0,2021-03-29 05:59:59
INS-W_1025,2021-03-29,afternoon,1.0,2.0,2021-03-29 11:59:59
INS-W_1025,2021-03-29,evening,2.0,8.0,2021-03-29 17:59:59
INS-W_1025,2021-03-29,night,1.0,36.0,2021-03-29 23:59:59
INS-W_1025,2021-03-30,morning,1.0,34.0,2021-03-30 05:59:59
INS-W_1025,2021-03-30,afternoon,7.0,2.0,2021-03-30 11:59:59
INS-W_1025,2021-03-30,evening,2.0,8.0,2021-03-30 17:59:59
INS-W_1025,2021-03-30,night,1.0,36.0,2021-03-30 23:59:59
INS-W_1025,2021-03-31,morning,1.0,34.0,2021-03-31 05:59:59
INS-W_1025,2021-03-31,afternoon,2.0,2.1818181818181817,2021-03-31 11:59:59
INS-W_1025,2021-03-31,evening,1.0,8.0,2021-03-31 17:59:59
INS-W_1025,2021-03-31,night,1.0,36.0,2021-03-31 23:59:59
INS-W_1025,2021-04-01,morning,1.0,34.0,2021-04-01 05:59:59
INS-W_1025,2021-04-01,afternoon,6.0,2.3636363636363638,2021-04-01 11:59:59
INS-W_1025,2021-04-01,evening,1.0,8.0,2021-04-01 17:59:59
INS-W_1025,2021-04-01,night,1.0,36.0,2021-04-01 23:59:59
INS-W_1025,2021-04-02,morning,1.0,34.0,2021-04-02 05:59:59
INS-W_1025,2021-04-02,afternoon,2.0,2.5454545454545454,2021-04-02 11:59:59
INS-W_1025,2021-04-02,evening,2.0,8.0,2021-04-02 17:59:59
INS-W_1025,2021-04-02,night,1.0,36.0,2021-04-02 23:59:59
INS-W_1025,2021-04-03,morning,1.0,34.0,2021-04-03 05:59:59
INS-W_1025,2021-04-03,afternoon,2.0,2.727272727272727,2021-04-03 11:59:59
INS-W_1025,2021-04-03,evening,2.0,8.0,2021-04-03 17:59:59
INS-W_1025,2021-04-03,night,1.0,36.0,2021-04-03 23:59:59
INS-W_1025,2021-04-04,morning,1.0,34.0,2021-04-04 05:59:59
INS-W_1025,2021-04-04,afternoon,1.0,2.909090909090909,2021-04-04 11:59:59
INS-W_1025,2021-04-04,evening,1.0,8.0,2021-04-04 17:59:59
INS-W_1025,2021-04-04,night,1.0,36.0,2021-04-04 23:59:59
INS-W_1025,2021-04-05,morning,1.0,34.0,2021-04-05 05:59:59
INS-W_1025,2021-04-05,afternoon,1.0,3.090909090909091,2021-04-05 11:59:59
INS-W_1025,2021-04-05,evening,2.0,8.0,2021-04-05 17:59:59
INS-W_1025,2021-04-05,night,1.0,36.0,2021-04-05 23:59:59
INS-W_1025,2021-04-06,morning,1.0,34.0,2021-04-06 05:59:59
INS-W_1025,2021-04-06,afternoon,1.0,3.2727272727272725,2021-04-06 11:59:59
INS-W_1025,2021-04-06,evening,1.0,8.0,2021-04-06 17:59:59
INS-W_1025,2021-04-06,night,1.0,36.0,2021-04-06 23:59:59
INS-W_1025,2021-04-07,morning,1.0,34.0,2021-04-07 05:59:59
INS-W_1025,2021-04-07,afternoon,1.0,3.454545454545454,2021-04-07 11:59:59
INS-W_1025,2021-04-07,evening,2.0,8.0,2021-04-07 17:59:59
INS-W_1025,2021-04-07,night,1.0,36.0,2021-04-07 23:59:59
INS-W_1025,2021-04-08,morning,1.0,34.0,2021-04-08 05:59:59
INS-W_1025,2021-04-08,afternoon,1.0,3.6363636363636362,2021-04-08 11:59:59
INS-W_1025,2021-04-08,evening,1.0,8.0,2021-04-08 17:59:59
INS-W_1025,2021-04-08,night,1.0,36.0,2021-04-08 23:59:59
INS-W_1025,2021-04-09,morning,1.0,34.0,2021-04-09 05:59:59
INS-W_1025,2021-04-09,afternoon,1.0,3.8181818181818183,2021-04-09 11:59:59
INS-W_1025,2021-04-09,evening,1.0,8.0,2021-04-09 17:59:59
INS-W_1025,2021-04-09,night,1.0,36.0,2021-04-09 23:59:59
INS-W_1025,2021-04-10,morning,1.0,34.0,2021-04-10 05:59:59
INS-W_1025,2021-04-10,afternoon,5.0,4.0,2021-04-10 11:59:59
INS-W_1025,2021-04-10,evening,5.0,8.0,2021-04-10 17:59:59
INS-W_1025,2021-04-10,night,1.0,36.0,2021-04-10 23:59:59
INS-W_1025,2021-04-11,morning,2.0,34.0,2021-04-11 05:59:59
INS-W_1025,2021-04-11,afternoon,1.0,7.444444444444445,2021-04-11 11:59:59
INS-W_1025,2021-04-11,evening,1.0,8.0,2021-04-11 17:59:59
INS-W_1025,2021-04-11,night,1.0,36.0,2021-04-11 23:59:59
INS-W_1025,2021-04-12,morning,1.0,34.0,2021-04-12 05:59:59
INS-W_1025,2021-04-12,afternoon,1.0,10.88888888888889,2021-04-12 11:59:59
INS-W_1025,2021-04-12,evening,2.0,8.0,2021-04-12 17:59:59
INS-W_1025,2021-04-12,night,1.0,36.0,2021-04-12 23:59:59
INS-W_1025,2021-04-13,morning,1.0,34.0,2021-04-13 05:59:59
INS-W_1025,2021-04-13,afternoon,2.0,14.333333333333334,2021-04-13 11:59:59
INS-W_1025,2021-04-13,evening,2.0,8.0,2021-04-13 17:59:59
INS-W_1025,2021-04-13,night,1.0,36.0,2021-04-13 23:59:59
INS-W_1025,2021-04-14,morning,1.0,34.0,2021-04-14 05:59:59
INS-W_1025,2021-04-14,afternoon,2.0,17.77777777777778,2021-04-14 11:59:59
INS-W_1025,2021-04-14,evening,1.0,8.0,2021-04-14 17:59:59
INS-W_1025,2021-04-14,night,1.0,36.0,2021-04-14 23:59:59
INS-W_1025,2021-04-15,morning,1.0,34.0,2021-04-15 05:59:59
