pid,date,segment,uniquedevices,datetime
INS-W_1036,2021-05-18,allday,5.0,2021-05-18 12:00:00
INS-W_1036,2021-05-19,allday,2.0,2021-05-19 12:00:00
INS-W_1036,2021-05-20,allday,7.0,2021-05-20 12:00:00
INS-W_1036,2021-05-21,allday,6.0,2021-05-21 12:00:00
INS-W_1036,2021-05-22,allday,5.0,2021-05-22 12:00:00
INS-W_1036,2021-05-23,allday,2.0,2021-05-23 12:00:00
INS-W_1036,2021-05-24,allday,4.0,2021-05-24 12:00:00
INS-W_1036,2021-05-25,allday,3.0,2021-05-25 12:00:00
INS-W_1036,2021-05-26,allday,1.0,2021-05-26 12:00:00
INS-W_1036,2021-05-27,allday,8.0,2021-05-27 12:00:00
INS-W_1036,2021-05-28,allday,5.0,2021-05-28 12:00:00
INS-W_1036,2021-05-29,allday,9.0,2021-05-29 12:00:00
INS-W_1036,2021-05-30,allday,2.0,2021-05-30 12:00:00
INS-W_1036,2021-05-31,allday,6.0,2021-05-31 12:00:00
INS-W_1036,2021-06-01,allday,5.0,2021-06-01 12:00:00
INS-W_1036,2021-06-02,allday,5.0,2021-06-02 12:00:00
INS-W_1036,2021-06-03,allday,12.0,2021-06-03 12:00:00
INS-W_1036,2021-06-04,allday,5.0,2021-06-04 12:00:00
INS-W_1036,2021-06-05,allday,6.0,2021-06-05 12:00:00
INS-W_1036,2021-06-06,allday,8.0,2021-06-06 12:00:00
INS-W_1044,2021-03-29,allday,,2021-03-29 12:00:00
INS-W_1044,2021-03-30,allday,1.0,2021-03-30 12:00:00
INS-W_1044,2021-03-31,allday,3.0,2021-03-31 12:00:00
INS-W_1044,2021-04-01,allday,1.0,2021-04-01 12:00:00
INS-W_1044,2021-04-02,allday,3.0,2021-04-02 12:00:00
INS-W_1044,2021-04-03,allday,15.0,2021-04-03 12:00:00
INS-W_1044,2021-04-04,allday,1.0,2021-04-04 12:00:00
INS-W_1044,2021-04-05,allday,1.0,2021-04-05 12:00:00
INS-W_1044,2021-04-06,allday,1.0,2021-04-06 12:00:00
INS-W_1044,2021-04-07,allday,1.0,2021-04-07 12:00:00
INS-W_1044,2021-04-08,allday,1.0,2021-04-08 12:00:00
INS-W_1044,2021-04-09,allday,1.0,2021-04-09 12:00:00
INS-W_1044,2021-04-10,allday,1.0,2021-04-10 12:00:00
INS-W_1044,2021-04-11,allday,1.0,2021-04-11 12:00:00
INS-W_1044,2021-04-12,allday,1.0,2021-04-12 12:00:00
INS-W_1044,2021-04-13,allday,1.0,2021-04-13 12:00:00
INS-W_1044,2021-04-14,allday,1.0,2021-04-14 12:00:00
INS-W_1044,2021-04-15,allday,1.0,2021-04-15 12:00:00
INS-W_1044,2021-04-16,allday,,2021-04-16 12:00:00
INS-W_1044,2021-04-17,allday,9.0,2021-04-17 12:00:00
INS-W_1044,2021-04-18,allday,2.0,2021-04-18 12:00:00
INS-W_1044,2021-04-19,allday,1.0,2021-04-19 12:00:00
INS-W_1044,2021-04-20,allday,1.0,2021-04-20 12:00:00
INS-W_1044,2021-04-21,allday,2.0,2021-04-21 12:00:00
INS-W_1044,2021-04-22,allday,,2021-04-22 12:00:00
INS-W_1044,2021-04-23,allday,1.0,2021-04-23 12:00:00
INS-W_1044,2021-04-24,allday,1.0,2021-04-24 12:00:00
INS-W_1044,2021-04-25,allday,3.0,2021-04-25 12:00:00
INS-W_1044,2021-04-26,allday,2.0,2021-04-26 12:00:00
INS-W_1044,2021-04-27,allday,,2021-04-27 12:00:00
INS-W_1044,2021-04-28,allday,1.0,2021-04-28 12:00:00
INS-W_1044,2021-04-29,allday,1.0,2021-04-29 12:00:00
INS-W_1044,2021-04-30,allday,1.0,2021-04-30 12:00:00
INS-W_1044,2021-05-01,allday,2.0,2021-05-01 12:00:00
INS-W_1044,2021-05-02,allday,3.0,2021-05-02 12:00:00
INS-W_1044,2021-05-03,allday,3.0,2021-05-03 12:00:00
INS-W_1044,2021-05-04,allday,2.0,2021-05-04 12:00:00
INS-W_1044,2021-05-05,allday,1.0,2021-05-05 12:00:00
INS-W_1044,2021-05-06,allday,2.0,2021-05-06 12:00:00
INS-W_1044,2021-05-07,allday,1.0,2021-05-07 12:00:00
INS-W_1044,2021-05-08,allday,1.0,2021-05-08 12:00:00
INS-W_1044,2021-05-09,allday,1.0,2021-05-09 12:00:00
INS-W_1044,2021-05-10,allday,6.0,2021-05-10 12:00:00
INS-W_1044,2021-05-11,allday,2.0,2021-05-11 12:00:00
INS-W_1044,2021-05-12,allday,1.0,2021-05-12 12:00:00
INS-W_1044,2021-05-13,allday,1.0,2021-05-13 12:00:00
INS-W_1044,2021-05-14,allday,,2021-05-14 12:00:00
INS-W_1044,2021-05-15,allday,2.0,2021-05-15 12:00:00
INS-W_1044,2021-05-16,allday,3.0,2021-05-16 12:00:00
INS-W_1044,2021-05-17,allday,2.0,2021-05-17 12:00:00
INS-W_1044,2021-05-18,allday,2.0,2021-05-18 12:00:00
INS-W_1044,2021-05-19,allday,2.0,2021-05-19 12:00:00
INS-W_1044,2021-05-20,allday,1.0,2021-05-20 12:00:00
INS-W_1044,2021-05-21,allday,2.0,2021-05-21 12:00:00
INS-W_1044,2021-05-22,allday,2.0,2021-05-22 12:00:00
INS-W_1044,2021-05-23,allday,1.0,2021-05-23 12:00:00
INS-W_1044,2021-05-24,allday,1.0,2021-05-24 12:00:00
INS-W_1044,2021-05-25,allday,1.0,2021-05-25 12:00:00
INS-W_1044,2021-05-26,allday,4.0,2021-05-26 12:00:00
INS-W_1044,2021-05-27,allday,6.0,2021-05-27 12:00:00
INS-W_1044,2021-05-28,allday,4.0,2021-05-28 12:00:00
INS-W_1044,2021-05-29,allday,,2021-05-29 12:00:00
INS-W_1044,2021-05-30,allday,4.0,2021-05-30 12:00:00
INS-W_1044,2021-05-31,allday,,2021-05-31 12:00:00
INS-W_1044,2021-06-01,allday,,2021-06-01 12:00:00
INS-W_1044,2021-06-02,allday,,2021-06-02 12:00:00
INS-W_1044,2021-06-03,allday,2.0,2021-06-03 12:00:00
INS-W_1044,2021-06-04,allday,12.0,2021-06-04 12:00:00
INS-W_1044,2021-06-05,allday,5.0,2021-06-05 12:00:00
INS-W_1044,2021-06-06,allday,4.0,2021-06-06 12:00:00
INS-W_1077,2021-03-29,allday,,2021-03-29 12:00:00
INS-W_1077,2021-03-30,allday,,2021-03-30 12:00:00
INS-W_1077,2021-03-31,allday,1.0,2021-03-31 12:00:00
INS-W_1077,2021-04-01,allday,1.0,2021-04-01 12:00:00
INS-W_1077,2021-04-02,allday,,2021-04-02 12:00:00
INS-W_1077,2021-04-03,allday,1.0,2021-04-03 12:00:00
INS-W_1077,2021-04-04,allday,,2021-04-04 12:00:00
INS-W_1077,2021-04-05,allday,,2021-04-05 12:00:00
INS-W_1077,2021-04-06,allday,1.0,2021-04-06 12:00:00
INS-W_1077,2021-04-07,allday,,2021-04-07 12:00:00
INS-W_1077,2021-04-08,allday,,2021-04-08 12:00:00
INS-W_1077,2021-04-09,allday,1.0,2021-04-09 12:00:00
INS-W_1077,2021-04-10,allday,1.0,2021-04-10 12:00:00
INS-W_1077,2021-04-11,allday,,2021-04-11 12:00:00
INS-W_1077,2021-04-12,allday,1.0,2021-04-12 12:00:00
INS-W_1077,2021-04-13,allday,1.0,2021-04-13 12:00:00
INS-W_1077,2021-04-14,allday,4.0,2021-04-14 12:00:00
INS-W_1077,2021-04-15,allday,1.0,2021-04-15 12:00:00
INS-W_1077,2021-04-16,allday,1.0,2021-04-16 12:00:00
INS-W_1077,2021-04-17,allday,2.0,2021-04-17 12:00:00
INS-W_1077,2021-04-18,allday,,2021-04-18 12:00:00
INS-W_1077,2021-04-19,allday,,2021-04-19 12:00:00
INS-W_1077,2021-04-20,allday,1.0,2021-04-20 12:00:00
INS-W_1077,2021-04-21,allday,,2021-04-21 12:00:00
INS-W_1077,2021-04-22,allday,2.0,2021-04-22 12:00:00
INS-W_1077,2021-04-23,allday,,2021-04-23 12:00:00
INS-W_1077,2021-04-24,allday,,2021-04-24 12:00:00
INS-W_1077,2021-04-25,allday,1.0,2021-04-25 12:00:00
INS-W_1077,2021-04-26,allday,2.0,2021-04-26 12:00:00
INS-W_1077,2021-04-27,allday,,2021-04-27 12:00:00
INS-W_1077,2021-04-28,allday,,2021-04-28 12:00:00
INS-W_1077,2021-04-29,allday,,2021-04-29 12:00:00
INS-W_1077,2021-04-30,allday,1.0,2021-04-30 12:00:00
INS-W_1077,2021-05-01,allday,2.0,2021-05-01 12:00:00
INS-W_1077,2021-05-02,allday,1.0,2021-05-02 12:00:00
INS-W_1077,2021-05-03,allday,1.0,2021-05-03 12:00:00
INS-W_1077,2021-05-04,allday,1.0,2021-05-04 12:00:00
INS-W_1077,2021-05-05,allday,1.0,2021-05-05 12:00:00
INS-W_1077,2021-05-06,allday,1.0,2021-05-06 12:00:00
INS-W_1077,2021-05-07,allday,1.0,2021-05-07 12:00:00
INS-W_1077,2021-05-08,allday,1.0,2021-05-08 12:00:00
INS-W_1077,2021-05-09,allday,1.0,2021-05-09 12:00:00
INS-W_1077,2021-05-10,allday,1.0,2021-05-10 12:00:00
INS-W_1077,2021-05-11,allday,1.0,2021-05-11 12:00:00
INS-W_1077,2021-05-12,allday,,2021-05-12 12:00:00
INS-W_1077,2021-05-13,allday,,2021-05-13 12:00:00
INS-W_1077,2021-05-14,allday,,2021-05-14 12:00:00
INS-W_1077,2021-05-15,allday,1.0,2021-05-15 12:00:00
INS-W_1077,2021-05-16,allday,,2021-05-16 12:00:00
INS-W_1077,2021-05-17,allday,1.0,2021-05-17 12:00:00
INS-W_1077,2021-05-18,allday,2.0,2021-05-18 12:00:00
INS-W_1077,2021-05-19,allday,,2021-05-19 12:00:00
INS-W_1077,2021-05-20,allday,,2021-05-20 12:00:00
INS-W_1077,2021-05-21,allday,4.0,2021-05-21 12:00:00
INS-W_1077,2021-05-22,allday,2.0,2021-05-22 12:00:00
INS-W_1077,2021-05-23,allday,3.0,2021-05-23 12:00:00
INS-W_1077,2021-05-24,allday,4.0,2021-05-24 12:00:00
INS-W_1077,2021-05-25,allday,6.0,2021-05-25 12:00:00
INS-W_1077,2021-05-26,allday,1.0,2021-05-26 12:00:00
INS-W_1077,2021-05-27,allday,4.0,2021-05-27 12:00:00
INS-W_1077,2021-05-28,allday,3.0,2021-05-28 12:00:00
INS-W_1077,2021-05-29,allday,5.0,2021-05-29 12:00:00
INS-W_1077,2021-05-30,allday,3.0,2021-05-30 12:00:00
INS-W_1077,2021-05-31,allday,3.0,2021-05-31 12:00:00
INS-W_1077,2021-06-01,allday,8.0,2021-06-01 12:00:00
INS-W_1077,2021-06-02,allday,5.0,2021-06-02 12:00:00
INS-W_1077,2021-06-03,allday,8.0,2021-06-03 12:00:00
INS-W_1077,2021-06-04,allday,5.0,2021-06-04 12:00:00
INS-W_1077,2021-06-05,allday,7.0,2021-06-05 12:00:00
INS-W_1077,2021-06-06,allday,3.0,2021-06-06 12:00:00
INS-W_923,2021-03-29,allday,1.0,2021-03-29 12:00:00
INS-W_923,2021-03-30,allday,10.0,2021-03-30 12:00:00
INS-W_923,2021-03-31,allday,3.0,2021-03-31 12:00:00
INS-W_923,2021-04-01,allday,2.0,2021-04-01 12:00:00
INS-W_923,2021-04-02,allday,10.0,2021-04-02 12:00:00
INS-W_923,2021-04-03,allday,3.0,2021-04-03 12:00:00
INS-W_923,2021-04-04,allday,4.0,2021-04-04 12:00:00
INS-W_923,2021-04-05,allday,2.0,2021-04-05 12:00:00
INS-W_923,2021-04-06,allday,1.0,2021-04-06 12:00:00
INS-W_923,2021-04-07,allday,4.0,2021-04-07 12:00:00
INS-W_923,2021-04-08,allday,4.0,2021-04-08 12:00:00
INS-W_923,2021-04-09,allday,4.0,2021-04-09 12:00:00
INS-W_923,2021-04-10,allday,3.0,2021-04-10 12:00:00
INS-W_923,2021-04-11,allday,3.0,2021-04-11 12:00:00
INS-W_923,2021-04-12,allday,7.0,2021-04-12 12:00:00
INS-W_923,2021-04-13,allday,5.0,2021-04-13 12:00:00
INS-W_923,2021-04-14,allday,3.0,2021-04-14 12:00:00
INS-W_923,2021-04-15,allday,2.0,2021-04-15 12:00:00
INS-W_923,2021-04-16,allday,13.0,2021-04-16 12:00:00
INS-W_923,2021-04-17,allday,3.0,2021-04-17 12:00:00
INS-W_923,2021-04-18,allday,8.0,2021-04-18 12:00:00
INS-W_923,2021-04-19,allday,3.0,2021-04-19 12:00:00
INS-W_923,2021-04-20,allday,2.0,2021-04-20 12:00:00
INS-W_923,2021-04-21,allday,2.0,2021-04-21 12:00:00
INS-W_923,2021-04-22,allday,7.0,2021-04-22 12:00:00
INS-W_923,2021-04-23,allday,2.0,2021-04-23 12:00:00
INS-W_923,2021-04-24,allday,7.0,2021-04-24 12:00:00
INS-W_923,2021-04-25,allday,5.0,2021-04-25 12:00:00
INS-W_923,2021-04-26,allday,2.0,2021-04-26 12:00:00
INS-W_923,2021-04-27,allday,2.0,2021-04-27 12:00:00
INS-W_923,2021-04-28,allday,6.0,2021-04-28 12:00:00
INS-W_923,2021-04-29,allday,4.0,2021-04-29 12:00:00
INS-W_923,2021-04-30,allday,3.0,2021-04-30 12:00:00
INS-W_923,2021-05-01,allday,9.0,2021-05-01 12:00:00
INS-W_923,2021-05-02,allday,3.0,2021-05-02 12:00:00
INS-W_923,2021-05-03,allday,3.0,2021-05-03 12:00:00
INS-W_923,2021-05-04,allday,3.0,2021-05-04 12:00:00
INS-W_923,2021-05-05,allday,1.0,2021-05-05 12:00:00
INS-W_923,2021-05-06,allday,10.0,2021-05-06 12:00:00
INS-W_923,2021-05-07,allday,1.0,2021-05-07 12:00:00
INS-W_923,2021-05-08,allday,4.0,2021-05-08 12:00:00
INS-W_923,2021-05-09,allday,5.0,2021-05-09 12:00:00
INS-W_923,2021-05-10,allday,6.0,2021-05-10 12:00:00
INS-W_923,2021-05-11,allday,3.0,2021-05-11 12:00:00
INS-W_923,2021-05-12,allday,7.0,2021-05-12 12:00:00
INS-W_923,2021-05-13,allday,3.0,2021-05-13 12:00:00
INS-W_923,2021-05-14,allday,9.0,2021-05-14 12:00:00
INS-W_923,2021-05-15,allday,3.0,2021-05-15 12:00:00
INS-W_923,2021-05-16,allday,16.0,2021-05-16 12:00:00
INS-W_923,2021-05-17,allday,2.0,2021-05-17 12:00:00
INS-W_923,2021-05-18,allday,4.0,2021-05-18 12:00:00
INS-W_923,2021-05-19,allday,2.0,2021-05-19 12:00:00
INS-W_923,2021-05-20,allday,1.0,2021-05-20 12:00:00
INS-W_923,2021-05-21,allday,5.0,2021-05-21 12:00:00
INS-W_923,2021-05-22,allday,10.0,2021-05-22 12:00:00
INS-W_923,2021-05-23,allday,13.0,2021-05-23 12:00:00
INS-W_923,2021-05-24,allday,2.0,2021-05-24 12:00:00
INS-W_923,2021-05-25,allday,1.0,2021-05-25 12:00:00
INS-W_923,2021-05-26,allday,2.0,2021-05-26 12:00:00
INS-W_923,2021-05-27,allday,2.0,2021-05-27 12:00:00
INS-W_923,2021-05-28,allday,4.0,2021-05-28 12:00:00
INS-W_923,2021-05-29,allday,8.0,2021-05-29 12:00:00
INS-W_923,2021-05-30,allday,5.0,2021-05-30 12:00:00
INS-W_923,2021-05-31,allday,3.0,2021-05-31 12:00:00
INS-W_923,2021-06-01,allday,10.0,2021-06-01 12:00:00
INS-W_923,2021-06-02,allday,3.0,2021-06-02 12:00:00
INS-W_923,2021-06-03,allday,4.0,2021-06-03 12:00:00
INS-W_923,2021-06-04,allday,2.0,2021-06-04 12:00:00
INS-W_923,2021-06-05,allday,5.0,2021-06-05 12:00:00
INS-W_923,2021-06-06,allday,13.0,2021-06-06 12:00:00
INS-W_963,2021-03-29,allday,3.0,2021-03-29 12:00:00
INS-W_963,2021-03-30,allday,2.0,2021-03-30 12:00:00
INS-W_963,2021-03-31,allday,7.0,2021-03-31 12:00:00
INS-W_963,2021-04-01,allday,6.0,2021-04-01 12:00:00
INS-W_963,2021-04-02,allday,2.0,2021-04-02 12:00:00
INS-W_963,2021-04-03,allday,6.0,2021-04-03 12:00:00
INS-W_963,2021-04-04,allday,4.0,2021-04-04 12:00:00
INS-W_963,2021-04-05,allday,4.0,2021-04-05 12:00:00
INS-W_963,2021-04-06,allday,10.0,2021-04-06 12:00:00
INS-W_963,2021-04-07,allday,2.0,2021-04-07 12:00:00
INS-W_963,2021-04-08,allday,2.0,2021-04-08 12:00:00
INS-W_963,2021-04-09,allday,16.0,2021-04-09 12:00:00
INS-W_963,2021-04-10,allday,2.0,2021-04-10 12:00:00
INS-W_963,2021-04-11,allday,,2021-04-11 12:00:00
INS-W_963,2021-04-12,allday,,2021-04-12 12:00:00
INS-W_963,2021-04-13,allday,,2021-04-13 12:00:00
INS-W_963,2021-04-14,allday,2.0,2021-04-14 12:00:00
INS-W_963,2021-04-15,allday,,2021-04-15 12:00:00
INS-W_963,2021-04-16,allday,,2021-04-16 12:00:00
INS-W_963,2021-04-17,allday,5.0,2021-04-17 12:00:00
INS-W_963,2021-04-18,allday,1.0,2021-04-18 12:00:00
INS-W_963,2021-04-19,allday,6.0,2021-04-19 12:00:00
INS-W_963,2021-04-20,allday,4.0,2021-04-20 12:00:00
INS-W_963,2021-04-21,allday,1.0,2021-04-21 12:00:00
INS-W_963,2021-04-22,allday,22.0,2021-04-22 12:00:00
INS-W_963,2021-04-23,allday,16.0,2021-04-23 12:00:00
INS-W_963,2021-04-24,allday,,2021-04-24 12:00:00
INS-W_963,2021-04-25,allday,2.0,2021-04-25 12:00:00
INS-W_963,2021-04-26,allday,,2021-04-26 12:00:00
INS-W_963,2021-04-27,allday,3.0,2021-04-27 12:00:00
INS-W_963,2021-04-28,allday,16.0,2021-04-28 12:00:00
INS-W_963,2021-04-29,allday,12.0,2021-04-29 12:00:00
INS-W_963,2021-04-30,allday,1.0,2021-04-30 12:00:00
INS-W_963,2021-05-01,allday,1.0,2021-05-01 12:00:00
INS-W_963,2021-05-02,allday,1.0,2021-05-02 12:00:00
INS-W_963,2021-05-03,allday,1.0,2021-05-03 12:00:00
INS-W_963,2021-05-04,allday,7.0,2021-05-04 12:00:00
INS-W_963,2021-05-05,allday,4.0,2021-05-05 12:00:00
INS-W_963,2021-05-06,allday,1.0,2021-05-06 12:00:00
INS-W_963,2021-05-07,allday,1.0,2021-05-07 12:00:00
INS-W_963,2021-05-08,allday,,2021-05-08 12:00:00
INS-W_963,2021-05-09,allday,1.0,2021-05-09 12:00:00
INS-W_963,2021-05-10,allday,2.0,2021-05-10 12:00:00
INS-W_963,2021-05-11,allday,2.0,2021-05-11 12:00:00
INS-W_963,2021-05-12,allday,,2021-05-12 12:00:00
INS-W_963,2021-05-13,allday,4.0,2021-05-13 12:00:00
INS-W_963,2021-05-14,allday,19.0,2021-05-14 12:00:00
INS-W_963,2021-05-15,allday,2.0,2021-05-15 12:00:00
INS-W_963,2021-05-16,allday,1.0,2021-05-16 12:00:00
INS-W_963,2021-05-17,allday,1.0,2021-05-17 12:00:00
INS-W_963,2021-05-18,allday,5.0,2021-05-18 12:00:00
INS-W_963,2021-05-19,allday,3.0,2021-05-19 12:00:00
INS-W_963,2021-05-20,allday,2.0,2021-05-20 12:00:00
INS-W_963,2021-05-21,allday,1.0,2021-05-21 12:00:00
INS-W_963,2021-05-22,allday,6.0,2021-05-22 12:00:00
INS-W_963,2021-05-23,allday,,2021-05-23 12:00:00
INS-W_963,2021-05-24,allday,10.0,2021-05-24 12:00:00
INS-W_963,2021-05-25,allday,,2021-05-25 12:00:00
INS-W_963,2021-05-26,allday,22.0,2021-05-26 12:00:00
INS-W_963,2021-05-27,allday,12.0,2021-05-27 12:00:00
INS-W_963,2021-05-28,allday,3.0,2021-05-28 12:00:00
INS-W_963,2021-05-29,allday,1.0,2021-05-29 12:00:00
INS-W_963,2021-05-30,allday,1.0,2021-05-30 12:00:00
INS-W_963,2021-05-31,allday,1.0,2021-05-31 12:00:00
INS-W_963,2021-06-01,allday,1.0,2021-06-01 12:00:00
INS-W_963,2021-06-02,allday,1.0,2021-06-02 12:00:00
INS-W_963,2021-06-03,allday,3.0,2021-06-03 12:00:00
INS-W_963,2021-06-04,allday,1.0,2021-06-04 12:00:00
INS-W_963,2021-06-05,allday,,2021-06-05 12:00:00
INS-W_963,2021-06-06,allday,4.0,2021-06-06 12:00:00
